"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
11238,283,514,55.06,"20200406"
11239,157,228,68.86,"20200406"
11357,260,483,53.83,"20200406"
11355,365,588,62.07,"20200406"
11354,257,439,58.54,"20200406"
11356,177,331,53.47,"20200406"
11358,172,358,48.04,"20200406"
11360,97,230,42.17,"20200406"
11361,145,270,53.7,"20200406"
11362,91,211,43.13,"20200406"
11363,42,93,45.16,"20200406"
11364,164,312,52.56,"20200406"
11365,268,490,54.69,"20200406"
11366,176,282,62.41,"20200406"
11367,447,706,63.31,"20200406"
11368,1446,1861,77.7,"20200406"
11369,547,728,75.14,"20200406"
11370,573,1007,56.9,"20200406"
11372,806,1102,73.14,"20200406"
11373,983,1425,68.98,"20200406"
11374,479,784,61.1,"20200406"
11375,653,1203,54.28,"20200406"
11377,620,972,63.79,"20200406"
11378,232,412,56.31,"20200406"
11379,276,504,54.76,"20200406"
11385,668,1139,58.65,"20200406"
11411,271,368,73.64,"20200406"
11412,423,663,63.8,"20200406"
11413,460,725,63.45,"20200406"
11414,252,451,55.88,"20200406"
11415,205,343,59.77,"20200406"
11416,204,311,65.59,"20200406"
11417,254,418,60.77,"20200406"
11418,329,541,60.81,"20200406"
11419,318,529,60.11,"20200406"
11420,398,656,60.67,"20200406"
11421,323,508,63.58,"20200406"
11422,359,560,64.11,"20200406"
11423,273,426,64.08,"20200406"
11426,163,313,52.08,"20200406"
11427,272,459,59.26,"20200406"
11428,193,295,65.42,"20200406"
11434,635,952,66.7,"20200406"
11432,502,793,63.3,"20200406"
11433,262,408,64.22,"20200406"
11435,485,799,60.7,"20200406"
11436,160,240,66.67,"20200406"
11691,713,1071,66.57,"20200406"
11692,182,289,62.98,"20200406"
11693,131,214,61.21,"20200406"
11694,226,397,56.93,"20200406"
11697,34,80,42.5,"20200406"
NA,4735,4842,97.79,"20200407"
10001,170,364,46.7,"20200407"
10002,405,792,51.14,"20200407"
10003,230,543,42.36,"20200407"
10004,20,45,44.44,"20200407"
10005,32,103,31.07,"20200407"
10006,8,33,24.24,"20200407"
10007,30,86,34.88,"20200407"
10009,298,662,45.02,"20200407"
10010,133,377,35.28,"20200407"
10011,308,640,48.12,"20200407"
10012,86,241,35.68,"20200407"
10013,131,301,43.52,"20200407"
10014,186,391,47.57,"20200407"
10016,344,814,42.26,"20200407"
10017,74,212,34.91,"20200407"
10018,116,251,46.22,"20200407"
10019,264,616,42.86,"20200407"
10021,295,771,38.26,"20200407"
10022,174,461,37.74,"20200407"
10023,269,695,38.71,"20200407"
10024,307,841,36.5,"20200407"
10025,433,1084,39.94,"20200407"
10026,220,449,49,"20200407"
10027,327,657,49.77,"20200407"
10028,257,650,39.54,"20200407"
10029,544,1070,50.84,"20200407"
10030,186,329,56.53,"20200407"
10031,407,670,60.75,"20200407"
10032,508,857,59.28,"20200407"
10033,439,730,60.14,"20200407"
10034,212,416,50.96,"20200407"
10035,301,580,51.9,"20200407"
10036,189,404,46.78,"20200407"
10037,146,282,51.77,"20200407"
10038,114,238,47.9,"20200407"
10039,178,340,52.35,"20200407"
10040,329,543,60.59,"20200407"
10044,68,155,43.87,"20200407"
10065,182,520,3,"20200407"
10069,32,81,39.51,"20200407"
10075,226,488,46.31,"20200407"
10128,306,801,38.2,"20200407"
10280,23,66,34.85,"20200407"
10282,36,65,55.38,"20200407"
10301,324,592,54.73,"20200407"
10302,156,297,52.53,"20200407"
10303,229,448,51.12,"20200407"
10304,482,899,53.62,"20200407"
10305,369,798,46.24,"20200407"
10306,479,1069,44.81,"20200407"
10307,133,268,49.63,"20200407"
10308,248,556,44.6,"20200407"
10309,298,646,46.13,"20200407"
10310,206,429,48.02,"20200407"
10312,558,1104,50.54,"20200407"
10314,839,1690,49.64,"20200407"
10451,476,849,56.07,"20200407"
10452,698,1107,63.05,"20200407"
10453,734,1194,61.47,"20200407"
10454,336,571,58.84,"20200407"
10455,326,584,55.82,"20200407"
10456,741,1253,59.14,"20200407"
10457,644,1062,60.64,"20200407"
10458,631,1114,56.64,"20200407"
10459,440,764,57.59,"20200407"
10460,467,831,56.2,"20200407"
10461,653,1194,54.69,"20200407"
10462,765,1387,55.16,"20200407"
10463,486,1089,44.63,"20200407"
10464,43,107,40.19,"20200407"
10465,552,1129,48.89,"20200407"
10466,737,1265,58.26,"20200407"
10467,1142,1942,58.81,"20200407"
10468,765,1174,65.16,"20200407"
10469,925,1531,60.42,"20200407"
10470,156,286,54.55,"20200407"
10471,183,440,41.59,"20200407"
10472,582,926,62.85,"20200407"
10473,638,1101,57.95,"20200407"
10474,97,157,61.78,"20200407"
10475,520,887,58.62,"20200407"
11429,381,542,70.3,"20200407"
11004,239,367,65.12,"20200407"
11101,258,520,49.62,"20200407"
11102,214,404,52.97,"20200407"
11103,190,350,54.29,"20200407"
11104,178,308,57.79,"20200407"
11105,186,377,49.34,"20200407"
11106,234,457,51.2,"20200407"
11109,29,80,36.25,"20200407"
11201,285,700,40.71,"20200407"
